clientid;income;age;loan;default
390;24.987.934.092.059.700;490.651.086.377.911;394.689.824.562.224;0
391;296.725.608.105.771;510.198.048.097.081;607.909.484.188.127;0
392;232.415.998.866.782;408.477.560.305.037;45.719.661.720.842.600;0
393;242.172.287.590.802;235.107.674.831.524;210.438.432.287.864;0
394;655.740.933.422.931;23.513.042.524.457.000;303.124.632.606.192;0
395;559.944.587.922.655;311.392.572.042.532;680.619.696.071.219;0
396;673.693.321.226.165;576.342.398.361.303;22.994.181.716.088;0
397;233.057.714.928.873;282.175.287.632.272;452.100.431.151.248;1
398;351.954.663.451.761;496.584.056.043.066;283.698.817.845.671;0
399;27.135.072.618.257.200;5.483.645.980.479.200;13.872.488.010.579.900;0
400;240.371.651.411.988;233.115.743.244.998;246.936.442.601.101;0
401;516.253.132.303.245;44.808.841.190.300.800;4.592.245.550.450.870;0
402;507.057.662.634.179;532.058.221.558.109;109.696.707.536.899;0
403;580.791.569.012.217;186.630.267.929.286;11.540.045.811.650.700;1
404;621.924.670.692.533;460.507.889.031.433;186.389.100.271.298;0
405;625.536.684.109.829;639.249.755.814.672;4.641.704.784.522.370;0
406;681.479.573.179.968;229.843.944.823.369;123.075.623.225.278;1
407;276.196.614.070.795;475.405.059.303.157;27.748.327.811.003.100;0
408;653.301.928.355.359;285.899.873.124.436;403.080.369.209.214;0
409;266.801.458.364.353;477.617.399.827.577;167.118.492.391.845;0
410;461.045.989.114.791;510.563.588.943.332;234.247.292.088.101;0
411;44.904.597.643.762.800;44.206.686.655.525.100;495.377.359.939.866;0
412;529.345.944.337.547;504.029.816.468.246;324.862.771.841.795;0
413;435.097.577.562.556;18.075.335.860.718;736.303.763.852.006;1
414;221.183.573.291.637;630.159.466.909.245;39.281.218.464.785.400;0
415;562.754.100.235.179;30.249.871.416.483.100;22.248.841.598.973.600;0
416;486.309.795.337.729;270.216.773.641.296;586.283.302.915.672;1
417;642.726.999.986.917;377.780.147.739.686;492.987.881.849.349;0
418;24.349.002.952.221.800;537.525.228.345.767;38.904.710.496.590.900;0
419;343.323.152.558.878;365.013.708.979.823;122.572.022.331.307;0
420;64.940.241.088.625;439.410.412.409.343;819.693.072.552.584;0
421;305.957.480.147.481;409.114.946.299.233;34.950.698.810.157.100;0
422;534.222.162.491.642;28.188.530.517.276.300;744.175.961.676.144;1
423;699.956.855.783.239;52.719.673.210.755;208.437.086.090.284;0
424;48.270.796.244.032.600;453.058.510.269.038;623.228.039.861.045;0
425;27.028.155.587.613.500;481.095.946.743.153;331.364.308.695.631;0
426;23.519.866.091.664.900;34.393.706.864.211.600;23.683.812.306.499.800;0
427;373.020.833.986.811;350.154.038.900.509;236.617.424.012.737;0
428;556.012.718.519.196;188.429.928.976.111;105.334.551.622.879;1
429;626.786.454.510.875;258.393.941.298.127;333.441.398.145.797;0
430;416.024.339.781.143;252.598.693.897.016;70.050.792.919.714;1
431;27.533.001.329.284.100;467.659.284.593.537;15.514.202.880.312;0
432;305.941.765.592.434;50.043.820.101.302.000;11.834.214.214.338.400;0
433;478.469.459.037.296;244.183.572.856.709;371.326.268.829.211;0
434;552.732.750.005.089;254.163.910.276.257;102.829.974.457.346;1
435;230.862.554.092.892;24.849.960.332.736.300;12.564.011.595.099.600;0
436;296.212.748.787.366;324.554.232.852.533;55.752.536.907.666;1
437;47.533.920.947.462.300;39.955.194.065.813;6.637.770.870.559.030;0
438;62.519.184.178.672.600;44.409.974.959.213.200;23.245.477.054.729;0
439;5.087.895.903.736.340;449.651.258.219.965;32.570.126.292.117.400;0
440;585.809.595.114.551;5.662.695.133.779.190;431.771.547.822.747;0
441;6.944.564.944.598.820;28.818.273.770.157.100;10.643.404.179.056.900;1
442;60.929.172.351.025;60.058.777.673.635.500;111.460.744.599.728;0
443;354.966.654.954.478;470.027.460.702.695;168.054.785.283.069;0
444;33.572.423.497.680.600;5.744.221.935.840.320;336.937.702.306.496;0
445;553.069.143.486.209;201.403.118.157.759;527.253.501.398.802;0
446;341.419.276.362.285;47.151.148.673.147;33.716.643.103.609.000;0
447;404.538.909.485.564;20.709.892.833.139.600;89.093.953.525.642;0
448;690.887.774.154.544;539.356.266.343.966;11.246.488.154.757;0
449;308.856.922.015.548;551.507.588.205.859;5.216.354.091.171.160;0
450;58.683.226.320.426.900;248.449.592.967.518;271.734.468.486.729;0
451;606.758.121.564.053;39.963.906.200.137.000;116.177.489.093.447;0
452;6.846.068.002.516.400;35.775.600.387.714.700;9.499.566.246.969.200;0
453;636.538.399.080.746;27.515.368.877.910.100;8.866.527.185.298.770;1
454;425.225.757.574.663;18.326.122.155.413;503.625.528.047.363;0
455;54.140.429.133.549.200;30.888.892.731.163.600;78.962.237.660.972.800;1
456;47.548.362.617.380.800;47.839.100.137.352.800;61.539.365.638.338.200;0
457;24.114.012.257.196.000;523.358.155.498.281;390.082.960.084.791;0
458;206.862.390.902.825;332.805.235.567.503;30.525.766.906.145.600;1
459;214.123.086.119.071;26.382.710.393.052.500;26.397.101.263.171;1
460;693.911.465.979.181;63.800.670.907.367;255.026.514.748.866;0
461;32.319.262.220.989.900;429.319.930.765.778;273.342.055.865.967;0
462;52.862.947.136.163.700;4.733.139.712.037.520;975.415.223.893.674;0
463;483.832.761.459.053;397.047.263.034.619;276.326.395.484.522;0
464;364.305.384.038.016;382.274.417.518.638;585.518.559.413.532;0
465;442.688.940.139.487;279.331.710.166.298;604.314.310.633.161;1
466;638.063.292.531.297;566.321.662.031.114;11.449.996.740.621.700;0
467;461.957.771.726.884;324.135.985.886.678;9.270.675.938.508.430;0
468;237.431.607.721.373;42.734.577.716.328.200;325.474.895.032.068;0
469;220.898.374.845.274;212.967.032.683.082;258.402.203.777.874;0
470;547.072.885.138.914;442.378.814.583.644;102.551.901.115.656;0
471;23.203.647.187.911;5.856.887.606.671.070;749.145.368.410.122;0
472;25.342.250.678.222.500;403.611.400.881.782;871.530.091.132.259;0
473;31.645.632.819.272.500;321.632.712.800.056;519.383.819.663.771;1
474;323.068.084.008.992;219.063.058.434.986;36.033.640.781.354.200;0
475;6.126.281.632.343.300;494.130.304.073.915;5.564.163.603.137.880;0
476;263.887.272.961.438;193.715.205.355.547;119.133.213.785.363;0
477;530.094.254.342.839;360.744.793.792.255;358.925.350.629.665;0
478;5.816.354.067.530.480;5.874.748.469.516.620;223.792.776.424.099;0
479;38.665.033.928.118.500;551.259.217.481.129;615.200.483.311.834;0
480;25.289.047.223.050.000;533.427.248.103.544;370.153.760.172.254;0
481;660.499.340.319.075;29.315.767.397.638.300;131.726.812.981.319;1
482;56.282.982.525.881.300;62.369.888.597.168;821.555.838.399.949;0
483;357.786.152.325.571;306.282.073.752.955;5.544.654.683.502.520;1
484;29.174.240.310.676.400;185.286.279.926.077;665.577.000.121.256;0
485;55.934.432.561.043.600;607.552.497.629.076;5.643.179.899.328.960;0
486;322.568.615.246.564;200.963.994.744.234;280.932.218.484.219;0
487;680.528.069.194.406;28.758.801.679.126.800;141.571.826.260.479;0
488;26.957.053.870.428.300;552.648.774.106.055;417.298.823.810.663;0
489;4.868.504.201.760.510;325.332.560.278.475;9.698.582.169.129;1
490;382.880.710.810.423;287.354.316.161.945;17.233.993.728.988.000;0
491;424.680.208.251.812;28.625.819.175.504.100;190.226.561.035.478;0
492;553.777.730.255.388;469.182.215.244.509;688.287.341.589.713;0
493;542.317.027.854.733;21.274.210.639.298;101.561.423.121.761;1
494;5.328.325.870.679.690;49.004.692.913.033.100;40.652.187.953.051.500;0
495;52.534.785.475.581.900;471.836.194.796.488;38.101.318.418.453.400;0
496;4.784.751.562.867.300;26.651.837.771.758.300;849.401.643.069.754;1
497;59.998.253.271.915;54.308.926.813.304.300;465.953.597.585.937;0
498;586.845.130.124.129;317.322.647.487.745;541.581.741.673.557;0
499;49.114.787.932.485.300;61.481.522.549.875.000;638.885.036.020.661;0
500;57.179.402.005.858.700;213.731.215.777.807;29.919.673.507.143.600;0
501;693.951.164.768.077;239.513.885.802.589;11.047.684.335.060.700;1
502;439.637.380.116.619;41.553.842.225.112;448.143.686.080.601;0
503;663.264.724.705.368;409.803.287.507.966;560.216.002.178.427;0
504;358.867.268.357.426;346.683.487.799.019;84.374.909.202.058;0
505;355.782.341.142.185;423.945.969.995.111;36.408.488.855.601.200;0
506;486.890.004.295.856;36.563.092.165.160.800;38.594.718.229.816.200;0
507;565.108.353.551.477;47.308.286.137.413.200;925.543.964.893.025;0
508;502.758.999.634.534;418.198.233.190.924;5.541.821.255.211.630;0
509;566.654.940.880.835;616.451.227.366.924;111.597.931.652.015;0
510;42.912.090.539.466.600;605.821.975.269.355;455.012.285.317.107;0
511;221.697.292.220.779;369.707.166.915.759;94.719.963.838.056;0
512;359.198.073.204.607;273.041.244.307.533;122.710.948.383.375;0
513;619.876.852.654.852;276.310.877.874.494;26.182.430.369.954;0
514;300.446.835.160.255;497.740.637.762.472;142.843.962.505.335;0
515;615.282.724.192.366;559.030.230.478.384;108.979.054.797.653;0
516;311.964.917.741.716;47.178.784.891.031.700;987.261.536.638.484;0
517;6.600.395.999.150.340;330.735.146.761.872;112.074.952.297.971;1
518;5.696.067.384.444.170;25.517.999.139.614.300;485.648.345.389.872;0
519;413.151.078.904.048;575.200.941.171.497;137.890.905.711.849;0
520;64.913.343.840.744.200;26.766.311.223.153;97.813.267.216.691;1
521;32.804.904.486.984;622.943.905.089.051;496.125.568.000.026;0
522;257.892.097.975.127;26.494.169.670.157.100;24.102.774.142.149;0
523;31.908.354.307.524.900;382.525.118.570.775;18.574.615.780.455.700;0
524;560.503.025.818.616;23.973.829.543.218.000;687.083.901.013.046;1
525;665.057.756.868.191;25.618.240.618.147.000;657.119.702.062.939;0
526;57.504.071.742.296.200;55.717.134.432.867.200;810.726.764.489.386;0
527;44.619.111.488.573.300;598.524.872.446.433;247.497.715.917.028;0
528;21.158.935.285.639;54.303.912.614.472.100;356.230.829.594.435;0
529;227.651.909.156.702;205.874.274.233.356;540.617.724.673.382;0
530;25.052.820.255.514.100;45.573.993.484.024;33.677.019.234.673.800;0
531;61.006.107.302.382.500;54.181.295.569.520.300;585.077.069.132.097;0
532;62.321.242.473.553.800;45.890.282.799.489.700;106.490.720.502.131;0
533;49.604.544.211.179;51.944.008.814.171;704.591.920.223.369;0
534;484.333.734.889.515;285.319.973.430.596;78.963.336.134.554;0
535;57.590.283.283.498.000;19.497.102.680.616.100;7.676.310.662.575.240;1
536;626.917.013.712.227;250.643.792.431.802;824.474.889.955.889;1
537;511.216.568.690.725;58.527.180.749.457.200;647.162.820.239.922;0
538;225.165.403.494.611;55.518.926.667.049.500;426.745.190.233.138;0
539;608.572.350.512.259;373.942.870.064.639;104.867.443.460.306;0
540;62.908.357.479.609.500;51.146.827.210.206.400;32.138.981.455.284.300;0
541;4.966.563.383.815.800;503.192.126.206.122;271.388.507.461.967;0
542;653.228.010.679.595;4.145.419.508.824.120;273.971.998.955.614;0
543;205.989.265.628.159;357.711.543.226.615;38.724.024.682.347.200;0
544;554.766.569.798.812;52.089.202.798.902.900;473.350.582.969.986;0
545;262.184.948.474.169;184.162.362.311.035;334.381.635.769.923;1
546;407.948.702.271.096;3.804.052.822.338.420;6.519.437.059.856.070;0
547;537.196.511.100.046;428.901.015.482.843;167.073.789.259.357;0
548;20.715.535.634.663;275.303.214.336.745;369.527.739.366.732;0
549;571.638.523.996.808;53.544.819.686.096.200;577.530.782.393.529;0
550;33.751.205.313.019.500;25.301.877.188.030.600;64.941.843.356.626.400;1
551;44.832.564.720.418.300;321.782.629.601.657;125.625.353.818.891;0
552;510.356.334.550.306;589.949.772.898.108;28.898.801.946.867.400;0
553;534.934.860.118.665;21.874.746.390.152.600;503.082.879.986.161;0
554;58.205.679.995.007.800;568.378.381.496.295;10.035.603.020.993.000;0
555;474.399.407.557.212;223.484.194.725.752;7.896.356.942.317.050;1
556;475.862.277.136.184;422.750.075.273.216;334.305.627.581.805;0
557;261.008.512.624.539;62.319.164.680.317;9.601.372.513.581.010;0
558;45.326.403.672.806.900;59.362.512.473.482.500;514.211.083.711.624;0
559;243.917.562.346.905;470.350.984.968.245;21.981.448.889.683.400;0
560;5.374.137.101.927.760;497.294.325.656.258;65.131.501.245.071.400;0
561;400.537.222.670.391;279.384.801.317.938;445.272.460.985.999;0
562;53.033.864.130.265.900;38.457.559.687.551.100;104.274.705.030.759;0
563;25.176.502.012.182;53.543.408.808.764.100;30.647.184.877.162.800;0
564;312.108.470.173.553;541.049.066.702.835;385.308.804.154.651;0
565;23.532.276.302.576.000;596.337.369.862.013;10.778.404.003.017;0
566;63.776.770.785.916.600;438.106.586.406.939;6.697.971.583.270.710;0
567;5.227.876.500.459.380;45.928.971.621.673.600;426.913.603.478.981;0
568;560.158.132.156.357;325.093.102.375.977;227.576.342.522.213;0
569;561.109.399.353.154;628.294.148.314.744;935.100.613.114.576;0
570;578.568.082.349.375;336.821.509.548.463;882.416.474.742.706;1
571;301.870.918.646.455;28.155.084.246.303.800;446.282.325.767.409;1
572;307.868.719.263.934;47.068.105.542.101;356.331.978.870.471;0
573;222.792.997.653.596;58.907.327.611.930.700;31.413.385.363.147;0
574;424.762.655.328.959;4.643.822.313.146.670;833.418.200.780.114;0
575;581.477.998.569.608;34.058.644.853.998;395.118.974.682.111;0
576;362.662.118.673.325;55.542.362.715.583.200;32.069.276.653.834.300;0
577;390.454.971.627.332;274.332.205.634.564;116.549.215.757.251;0
578;64.467.803.684.528.800;634.005.892.067.216;5.215.757.013.705.900;0
579;365.948.066.744.022;609.125.613.430.515;34.923.340.219.336.300;0
580;58.797.762.861.940.900;53.403.433.673.549.300;8.892.963.302.602.670;0
581;666.532.709.309.831;198.870.530.799.031;518.071.186.017.515;0
582;482.714.983.797.632;216.623.410.205.357;6.077.680.286.835.230;1
583;309.914.319.240.488;340.100.260.181.352;458.926.726.538.164;1
584;454.465.183.359.571;19.304.691.826.459;847.498.246.363.903;1
585;37.142.738.890.834.100;503.030.429.887.585;161.237.551.122.297;0
586;5.832.080.889.260.400;202.576.053.403.318;10.033.491.680.429;1
587;24.825.540.678.575.600;548.174.662.012.607;365.019.635.167.761;0
588;205.114.294.355.735;271.962.682.502.344;931.790.074.364.881;0
589;483.263.208.926.655;356.521.986.378.357;716.870.700.152.735;0
590;5.544.135.879.492.380;48.058.599.114.418;10.768.747.838.508.100;0
591;60.496.907.918.714;33.945.671.624.504;11.151.545.869.179.300;0
592;252.961.542.271.078;443.560.899.454.169;132.046.244.258.164;0
593;504.143.203.189.597;561.940.032.062.121;246.817.199.888.535;0
594;679.840.403.771.959;27.465.280.933.305.600;164.296.947.053.086;0
595;50.382.399.773.225.100;570.969.364.880.584;918.384.229.457.753;0
596;494.132.985.407.487;186.478.525.786.661;25.540.443.515.729.000;0
597;614.648.206.438.869;364.082.663.068.548;509.908.745.959.981;0
598;537.840.495.747.514;243.935.543.466.359;27.618.513.804.366.600;0
599;359.932.879.265.398;41.875.001.901.295;9.019.277.106.596.420;0
600;63.402.004.684.321.600;472.234.288.896.434;753.076.763.344.307;0
601;404.849.713.249.132;39.281.433.168.798.700;109.367.920.279.022;0
602;261.680.122.744.292;419.411.697.583.273;30.409.813.501.286.400;0
603;600.442.815.152.928;613.126.543.858.089;6.823.434.442.500.430;0
604;239.845.509.454.608;511.412.676.903.419;462.227.519.842.492;0
605;403.597.011.859.529;322.450.079.689.734;178.369.732.612.708;0
606;335.838.910.820.894;62.130.755.460.355.300;12.518.673.663.810.100;0
607;680.387.920.164.503;629.481.293.545.105;101.087.958.488.382;0
608;456.520.592.723.973;53.674.341.003.410.500;540.821.212.921.339;0
609;343.992.097.815.499;317.648.890.004.493;601.983.442.285.853;1
610;57.628.438.917.454.200;23.986.563.928.891;502.163.968.348.642;0
611;242.946.768.924.594;222.630.956.131.034;436.005.300.945.404;1
612;52.218.882.511.369.900;375.427.567.730.658;979.209.153.131.215;0
613;500.617.677.392.438;553.610.418.764.874;6.145.131.816.878.140;0
614;49.352.274.222.765.000;575.421.556.280.926;336.277.448.557.159;0
615;210.873.555.438.593;4.931.063.445.238.400;33.536.935.708.995.000;0
616;23.812.252.683.565;42.765.559.321.735.100;27.166.558.194.475;0
617;493.951.664.934.866;410.849.091.280.252;592.757.467.616.725;0
618;333.389.439.899.474;4.659.851.354.220.870;292.985.142.379.499;0
619;29.668.320.720.084;386.837.404.002.436;204.243.646.281.071;0
620;459.365.972.015.075;41.994.010.291.062.200;8.525.231.909.003.140;0
621;559.480.677.172.542;403.030.153.843.574;8.569.220.572.619.390;0
622;532.395.007.135.347;635.151.151.381.433;4.606.156.805.288.820;0
623;436.940.344.446.339;495.150.355.361.402;5.049.635.508.890.780;0
624;240.780.724.957.585;38.491.628.350.224.200;327.613.994.797.231;0
625;502.585.530.211.218;225.428.407.723.084;10.862.461.646.268.500;0
626;418.166.568.316.519;489.172.136.238.776;453.457.597.308.744;0
627;368.927.162.187.174;5.444.842.475.513;646.364.775.060.681;0
628;238.865.676.149.726;344.429.727.895.185;444.041.961.655.389;1
629;487.577.650.509.775;23.076.034.987.811;18.335.810.508.113.300;0
630;346.016.826.620.325;338.505.223.579.705;243.010.161.848.915;0
631;5.298.600.454.581.900;504.237.628.807.314;492.860.703.383.372;0
632;507.409.510.249.272;21.721.358.859.445.800;7.845.773.121.318.380;0
633;530.969.913.979.061;36.350.075.381.808;266.305.260.942.853;0
634;38.500.000.645.872.200;539.306.910.806.336;757.168.231.798.672;0
635;410.042.623.570.189;558.490.920.122.713;10.161.410.075.047;0
636;63.585.364.590.399.000;493.399.269.720.539;15.949.726.819.505;0
637;318.236.810.551.025;309.835.570.501.164;229.043.034.182.208;0
638;262.426.336.226.054;325.968.318.535.015;18.012.281.947.163.200;0
639;635.312.459.943.816;19.329.107.891.302.600;691.750.843.520.967;0
640;647.511.465.405.114;5.363.820.349.238.810;228.985.125.057.492;0
641;31.091.276.304.796.200;508.955.430.407.077;407.108.303.444.266;0
642;668.712.673.638.947;626.893.636.430.614;361.426.818.549.068;0
643;250.986.528.280.191;51.647.062.854.841.300;26.118.480.917.835;0
644;337.205.892.242.491;472.466.262.932.867;136.595.220.859.435;0
645;281.825.232.948.177;25.529.610.356.316;228.595.653.758.834;0
646;273.345.697.135.665;426.711.944.923.736;29.637.944.322.157;0
647;686.948.431.818.746;230.814.173.929.393;12.731.894.637.403;1
648;46.195.621.665.101.500;266.271.984.525.956;28.886.337.275.749.200;0
649;344.882.098.538.801;27.131.530.206.184.800;2.156.314.406.342;0
650;578.276.631.003.246;239.729.682.495.818;108.167.590.093.935;1
651;203.464.690.526.016;357.160.736.531.951;65.603.318.788.707;0
652;604.809.757.950.716;534.286.878.337.152;32.160.945.411.833.600;0
653;519.156.797.835.603;441.091.034.938.581;22.829.110.216.495.300;0
654;54.625.506.983.138.600;31.696.455.666.329.600;861.974.517.744.195;1
655;483.054.270.897.992;552.125.356.951.728;483.347.746.990.896;0
656;28.577.964.513.097.000;21.420.160.175.766.800;163.922.563.884.266;0
657;534.008.270.059.712;580.816.884.133.965;10.418.192.976.328.200;0
658;434.144.878.922.962;44.453.362.821.601.200;7.170.946.724.121.320;0
659;47.526.234.125.252.800;5.721.959.191.840.130;895.733.054.393.952;0
660;46.082.072.162.535;55.158.467.172.645;29.212.353.791.526.800;0
661;321.955.925.249.495;622.016.585.152.596;498.001.358.501.464;0
662;490.670.912.945.643;60.544.598.072.301.500;7.258.968.491.635.750;0
663;212.934.771.250.002;42.404.940.330.889.100;13.686.919.222.573.400;0
664;5.210.091.738.728.800;23.181.443.628.389.300;47.672.771.918.935.400;0
665;483.343.877.759.762;53.367.754.463.106.300;223.444.313.665.993;0
666;58.507.623.551.413.300;48.977.448.035.497.200;6.941.351.678.029.420;0
667;27.521.040.341.816.800;350.865.972.880.274;269.985.134.586.163;0
668;639.142.253.715.545;263.497.418.938.205;13.931.457.194.860.000;0
669;285.988.326.463.848;525.336.985.392.496;524.201.092.096.584;0
670;23.298.466.745.764;486.514.598.648.064;17.411.839.190.889.000;0
671;356.975.541.380.234;51.388.218.862.470.200;290.795.827.229.594;0
672;403.761.635.813.862;3.892.128.903.651.610;390.193.798.361.853;0
673;56.534.966.842.737.000;278.079.414.837.994;216.108.375.159.161;0
674;36.088.938.608.299.900;417.177.590.057.254;622.241.527.252.187;0
675;341.586.339.683.272;29.421.142.429.579;291.140.806.707.675;0
676;29.732.057.619.839.900;388.767.124.265.432;348.501.802.587.388;0
677;4.173.620.153.917;345.964.918.844.402;760.261.305.507.845;1
678;422.364.560.933.784;24.686.733.096.838;474.906.867.530.672;0
679;28.796.850.836.370.000;446.286.484.147.422;7.062.289.942.236;0
680;5.509.738.848.079;33.929.424.236.528.600;934.247.942.698.609;1
681;40.916.564.145.591.000;483.197.407.145.053;521.980.402.778.761;0
682;20.908.335.100.393.700;28.818.521.979.264.800;31.336.244.473.393.300;1
683;57.999.772.385.228.300;62.770.110.633.689.800;859.589.294.215.437;0
684;577.465.815.865.435;636.253.054.803.237;727.194.664.952.067;0
685;55.116.234.514.862.300;414.688.852.438.703;10.284.606.786.439.400;0
686;57.765.521.160.326.900;4.388.730.905.111.870;544.522.266.010.925;0
687;45.200.992.799.364;43.905.429.022.852.200;733.596.256.840.597;0
688;424.351.894.925.348;514.895.268.101.245;276.628.091.438.528;0
689;46.365.573.517.978.200;418.526.130.542.159;544.327.630.749.977;0
690;571.877.008.932.643;594.719.182.071.276;939.067.226.092.499;0
691;665.399.275.999.516;57.705.559.293.273.700;121.290.822.259.617;0
692;25.244.726.699.311.200;5.337.901.060.422.870;127.899.950.423.557;0
693;54.780.345.612.671.200;61.388.971.141.073.800;8.134.220.407.851.590;0
694;592.531.214.631.163;369.204.115.439.206;732.728.357.684.415;0
695;485.403.415.444.307;212.391.576.226.801;10.129.349.929.059.100;0
696;30.415.105.079.300.600;22.983.635.846.059.700;43.620.831.523.754.200;1
697;487.686.992.436.647;25.925.025.629.345.300;50.059.910.564.675.500;0
698;522.992.180.823.348;183.097.456.344.403;788.068.580.712.225;1
699;42.242.489.119.526;342.207.668.605.261;20.703.793.805.860.800;0
700;282.189.652.719.535;42.624.393.875.245;130.508.243.308.288;0
701;402.081.318.595.447;613.719.132.794.067;459.034.688.796.151;0
702;614.196.728.379.466;30.651.823.387.481.200;9.921.672.387.157.040;1
703;512.825.052.416.883;265.513.867.693.953;844.538.534.278.682;1
704;360.179.027.472.623;435.236.232.024.617;15.263.924.759.160.500;0
705;575.750.097.911.805;338.001.351.165.585;9.857.229.949.587.000;1
706;53.330.767.136.067.100;423.772.462.992.929;234.349.755.586.202;0
707;39.834.519.841.242.500;63.312.275.260.221.200;6.999.557.764.042.170;0
708;62.469.428.374.897.600;24.264.855.359.215.300;7.286.550.390.859.970;0
709;403.346.167.341.806;45.886.541.584.041.000;680.886.995.498.301;0
710;475.428.027.031.012;40.873.337.548.226.100;944.820.972.109.913;0
711;55.883.622.861.001.600;273.703.380.203.806;974.563.067.419.013;0
712;29.163.015.882.950.200;43.956.171.318.423;146.912.970.417.187;0
713;47.786.141.063.552.300;297.081.892.956.048;71.814.785.525.792.500;1
714;297.363.105.043.769;352.983.984.411.694;6.570.484.089.194.500;0
715;50.831.427.534.576.500;243.516.025.198.624;957.258.688.405.588;1
716;620.300.459.954.888;465.357.845.406.979;7.572.567.589.234.590;0
717;540.490.127.447.993;546.203.531.795.181;456.964.791.088.147;0
718;343.360.175.890.848;358.306.517.112.069;344.164.452.422.469;0
719;318.957.153.055.817;48.185.907.284.729.200;342.334.617.207.901;0
720;518.945.400.998.928;59.003.768.304.828.600;6.579.534.006.664.220;0
721;376.167.108.584.195;534.446.602.477.692;57.322.401.076.494;0
722;22.076.948.003.377.700;569.954.393.552.616;394.814.334.405.049;0
723;56.252.953.705.843.400;57.278.290.571.644.800;7.327.070.282.101.670;0
724;26.316.758.494.358.500;37.217.654.004.692.900;923.028.441.324.114;0
725;231.208.796.077.408;40.296.722.322.236.700;14.178.465.220.016.500;0
726;39.033.032.713.923.500;596.770.221.912.302;575.789.047.926.275;0
727;32.420.818.151.440.400;323.617.921.588.011;149.421.297.427.116;0
728;6.882.724.432.973.190;25.302.530.789.282.100;10.491.754.772.678.000;0
729;580.922.048.934.735;418.136.523.533.612;5.277.740.419.709.720;0
730;43.538.856.115.192.200;463.294.121.143.408;852.390.111.590.581;0
731;64.040.484.179.277;591.448.074.136.861;540.872.776.719.187;0
732;343.952.292.157.337;255.482.243.257.575;208.973.250.000.687;0
733;574.055.149.266.496;456.444.349.931.553;691.475.153.975.136;0
734;22.581.133.972.853.300;405.488.618.090.749;342.851.058.172.658;0
735;27.952.945.982.106;420.974.981.090.985;396.525.197.444.964;0
736;540.229.128.370.993;26.561.012.302.525.300;106.414.514.434.212;1
737;635.461.647.575.721;4.441.273.214.202.370;617.023.911.645.177;0
738;607.134.303.008.206;560.316.035.267.897;396.233.677.598.603;0
739;4.451.932.947.151.360;323.916.598.488.577;144.646.810.321.108;0
740;40.997.798.989.992.500;555.812.039.119.191;79.083.318.430.222;0
741;63.661.383.329.890.700;255.955.243.813.805;6.095.308.748.994.180;0
742;344.291.467.382.573;397.149.895.974.435;22.402.774.038.697;0
743;291.818.614.280.783;482.406.478.086.486;25.296.129.690.448.400;0
744;525.104.382.354.766;402.791.402.386.501;185.830.823.957.284;0
745;375.363.472.430.035;25.856.677.569.914.600;26.343.585.848.472;0
746;356.837.449.525.483;444.978.791.652.247;433.782.555.851.561;0
747;456.222.907.104.529;416.325.453.221.798;528.181.250.121.176;0
748;6.738.540.317.630.400;290.336.793.586.612;6.747.232.379.118.970;0
749;694.117.925.292.812;470.737.268.491.648;12.176.782.438.093.700;0
750;483.225.140.650.757;292.626.339.835.115;773.269.639.567.081;1
751;40.836.588.810.197.900;22.168.262.908.235.100;699.448.780.081.424;1
752;380.359.513.266.012;606.552.104.717.121;4.298.705.027.677.410;0
753;426.969.713.694.416;445.296.706.766.821;22.219.643.863.902.400;0
754;2.418.169.478.653;22.300.125.380.978;15.290.188.684.850.100;0
755;331.944.026.448.764;511.797.121.162.526;661.538.785.751.688;0
756;32.541.461.526.416.200;34.405.086.162.034.300;780.832.856.751.006;0
757;383.814.130.607.061;540.833.714.376.204;322.724.155.555.729;0
758;259.219.125.309.028;584.260.793.160.647;510.474.678.854.711;0
759;5.881.097.172.852.610;221.093.805.856.071;909.972.433.792.209;1
760;630.257.440.777.496;565.669.315.373.525;295.697.774.567.302;0
761;299.540.045.135.655;61.836.844.710.167.500;577.407.427.035.938;0
762;40.641.523.017.547.900;37.664.198.640.268.200;5.042.326.368.067.920;0
763;4.394.091.070.164;383.059.819.466.434;28.553.791.874.510.600;0
764;6.516.697.287.326.670;25.656.281.858.217;885.908.746.877.633;1
765;588.203.820.562.921;30.752.315.645.571.700;530.657.824.121.697;0
766;507.197.630.754.672;4.320.724.464.952.940;4.770.937.668.011.930;0
767;46.766.595.919.616.500;477.751.709.497.534;238.340.775.653.766;0
768;67.520.759.596.955;454.156.241.421.588;130.417.794.518.553;0
769;283.862.535.539.083;31.125.332.410.913;17.189.437.817.568.600;0
770;682.760.307.611.898;345.148.812.653.497;4.842.077.960.288.330;0
771;307.317.262.794.822;40.388.842.944.987.100;11.295.624.120.295;0
772;30.012.251.092.121;54.940.118.664.875.600;39.721.514.052.114.200;0
773;380.753.187.742.084;531.073.599.536.903;6.928.943.621.162.830;0
774;559.323.965.734.802;443.926.223.418.675;4.876.366.908.841;0
775;279.662.444.535.643;53.700.273.237.656.700;444.520.317.812.007;0
776;538.255.367.358.215;497.139.043.789.357;527.280.479.170.349;0
777;65.451.496.518.217.000;6.027.638.934.040.430;81.290.489.314.653.400;0
778;39.473.995.862.063;423.012.538.384.646;6.034.153.227.563.570;0
